Ticker,ROE,PE,Value_Score
AAPL,1.5130553784426857,31.54345287232512,0.04796733523647235
PEP,0.4975507440693491,19.061443457844184,0.026102469373304283
NVDA,1.0691789740483104,45.38397061505197,0.02355851547492648
GOOG,0.345452890276629,19.286460837327468,0.017911678725836076
KO,0.4170590453354475,28.558992952522253,0.01460342267771084
META,0.3868740910186107,26.55653823065956,0.014567941335515035
JPM,0.1727078490285454,12.574065868163164,0.013735242907056189
MSFT,0.3273582173230374,36.304168055052514,0.009017097343385572
AMZN,0.2425671419441162,34.81065360305714,0.006968186943861734
TSLA,0.0902928177768386,148.79479769110765,0.0006068277868442892
